N,S,Comparisons,Time
1000,1,8719,0.000149333
1000,2,8719,0.000544667
1000,3,8719,0.000347333
1000,4,8766,0.000465
1000,5,8766,0.000389667
1000,6,8766,0.000202667
1000,7,8799,0.00055
1000,8,9069,0.000483667
1000,9,9069,0.000226333
1000,10,9069,0.000371
1000,11,9069,0.000173
1000,12,9069,0.000269333
1000,13,9069,0.000388
1000,14,9069,0.000697
1000,15,9430,0.000425333
1000,16,10225,0.000660667
1000,17,10225,0.000602667
1000,18,10225,0.000502333
1000,19,10225,0.000349333
1000,20,10225,0.000737667
1000,21,10225,0.000491333
1000,22,10225,0.000543
1000,23,10225,0.000472333
1000,24,10225,0.000377667
1000,25,10225,0.000311333
1000,26,10225,0.000211667
1000,27,10225,0.000465333
1000,28,10225,6.43333E-05
1000,29,10225,0.000321333
1000,30,10225,0.000229667
1000,31,12379,0.000330333
1000,32,13137,0.000398667
1000,33,13137,0.000543
1000,34,13137,0.000409
1000,35,13137,0.000412333
1000,36,13137,0.000235667
1000,37,13137,0.000413
1000,38,13137,0.000431667
1000,39,13137,0.000528
1000,40,13137,0.000507
1000,41,13137,0.000604333
1000,42,13137,0.000385333
1000,43,13137,0.000419333
1000,44,13137,0.00035
1000,45,13137,0.000229333
1000,46,13137,0.000528333
1000,47,13137,0.000232667
1000,48,13137,0.000242667
1000,49,13137,0.000375333
1000,50,13137,0.000713333
1000,51,13137,0.000323333
1000,52,13137,0.000120667
1000,53,13137,0.000495
1000,54,13137,0.000392333
1000,55,13137,0.000456333
1000,56,13137,0.000498667
1000,57,13137,0.000513667
1000,58,13137,0.000227333
1000,59,13137,0.000573
1000,60,13137,0.000886667
1000,61,13137,0.000422333
1000,62,16199,0.000217
1000,63,19716,0.000374333
1000,64,19716,0.000392333
1000,65,19716,0.000353
1000,66,19716,0.000337333
1000,67,19716,0.000321667
1000,68,19716,0.000459
1000,69,19716,0.000495333
1000,70,19716,0.000501
1000,71,19716,0.000482
1000,72,19716,0.000238
1000,73,19716,0.000518667
1000,74,19716,0.000665667
1000,75,19716,0.000612333
1000,76,19716,0.000508333
1000,77,19716,0.000607667
1000,78,19716,0.000319667
1000,79,19716,0.000390667
1000,80,19716,0.000436667
1000,81,19716,0.000494
1000,82,19716,0.000350333
1000,83,19716,0.000297
1000,84,19716,9.96667E-05
1000,85,19716,0.000592
1000,86,19716,0.000615667
1000,87,19716,0.000339
1000,88,19716,0.000673
1000,89,19716,0.000263667
1000,90,19716,0.000259333
1000,91,19716,0.000796667
1000,92,19716,6.16667E-05
1000,93,19716,0.000405
1000,94,19716,0.0005
1000,95,19716,0.000303667
